"","Metric","Level","value","Time"
"133","partner.diversity.HL","Plants",0.845196596100507,"1.2014.Low"
"134","generality.HL","Plants",2.625,"1.2014.Low"
"135","Raw.Camera","Plants",26,"1.2014.Low"
"136","Raw.Transect","Plants",11,"1.2014.Low"
"137","connectance","Hummingbirds",0.244444444444444,"10.2013.High"
"138","web asymmetry","Hummingbirds",0.0526315789473684,"10.2013.High"
"139","links per species","Hummingbirds",1.15789473684211,"10.2013.High"
"140","number of compartments","Hummingbirds",1,"10.2013.High"
"141","compartment diversity","Hummingbirds",NA,"10.2013.High"
"142","cluster coefficient","Hummingbirds",0.222222222222222,"10.2013.High"
"143","nestedness","Hummingbirds",27.7927946119216,"10.2013.High"
"144","weighted nestedness","Hummingbirds",0.254374320621547,"10.2013.High"
"145","weighted NODF","Hummingbirds",34.6913580246914,"10.2013.High"
"146","interaction strength asymmetry","Hummingbirds",0,"10.2013.High"
"147","specialisation asymmetry","Hummingbirds",0.0926748294721413,"10.2013.High"
"148","linkage density","Hummingbirds",3.27272727272727,"10.2013.High"
"149","weighted connectance","Hummingbirds",0.172248803827751,"10.2013.High"
"150","Fisher alpha","Hummingbirds",26843542120.0914,"10.2013.High"
"151","Shannon diversity","Hummingbirds",3.09104245335832,"10.2013.High"
"152","interaction evenness","Hummingbirds",0.686927376893132,"10.2013.High"
"153","Alatalo interaction evenness","Hummingbirds",1,"10.2013.High"
"154","H2","Hummingbirds",0,"10.2013.High"
"155","number.of.species.HL","Hummingbirds",10,"10.2013.High"
"156","mean.number.of.shared.partners.HL","Hummingbirds",0.711111111111111,"10.2013.High"
"157","cluster.coefficient.HL","Hummingbirds",0.292929292929293,"10.2013.High"
"158","weighted.cluster.coefficient.HL","Hummingbirds",0.191176470588235,"10.2013.High"
"159","niche.overlap.HL","Hummingbirds",0.291428571428571,"10.2013.High"
"160","togetherness.HL","Hummingbirds",0.2,"10.2013.High"
"161","C.score.HL","Hummingbirds",0.50462962962963,"10.2013.High"
"162","V.ratio.HL","Hummingbirds",0.716417910447761,"10.2013.High"
"163","discrepancy.HL","Hummingbirds",9,"10.2013.High"
"164","extinction.slope.HL","Hummingbirds",2.26585032821721,"10.2013.High"
"165","robustness.HL","Hummingbirds",0.691132066861622,"10.2013.High"
"166","functional.complementarity.HL","Hummingbirds",13.7071894975462,"10.2013.High"
"167","partner.diversity.HL","Hummingbirds",0.89052596026601,"10.2013.High"
"168","generality.HL","Hummingbirds",2.63636363636364,"10.2013.High"
"169","Raw.Camera","Hummingbirds",6,"10.2013.High"
"170","Raw.Transect","Hummingbirds",122,"10.2013.High"
"171","connectance","Plants",0.244444444444444,"10.2013.High"
"172","web asymmetry","Plants",0.0526315789473684,"10.2013.High"
"173","links per species","Plants",1.15789473684211,"10.2013.High"
"174","number of compartments","Plants",1,"10.2013.High"
"175","compartment diversity","Plants",NA,"10.2013.High"
"176","cluster coefficient","Plants",0.222222222222222,"10.2013.High"
"177","nestedness","Plants",27.6873499837766,"10.2013.High"
"178","weighted nestedness","Plants",0.254699925430652,"10.2013.High"
"179","weighted NODF","Plants",34.6913580246914,"10.2013.High"
"180","interaction strength asymmetry","Plants",0,"10.2013.High"
"181","specialisation asymmetry","Plants",0.0926748294721413,"10.2013.High"
"182","linkage density","Plants",3.27272727272727,"10.2013.High"
"183","weighted connectance","Plants",0.172248803827751,"10.2013.High"
"184","Fisher alpha","Plants",26843542120.0914,"10.2013.High"
"185","Shannon diversity","Plants",3.09104245335832,"10.2013.High"
"186","interaction evenness","Plants",0.686927376893132,"10.2013.High"
"187","Alatalo interaction evenness","Plants",1,"10.2013.High"
"188","H2","Plants",0,"10.2013.High"
"189","number.of.species.HL","Plants",9,"10.2013.High"
"190","mean.number.of.shared.partners.HL","Plants",0.5,"10.2013.High"
"191","cluster.coefficient.HL","Plants",0.390909090909091,"10.2013.High"
"192","weighted.cluster.coefficient.HL","Plants",0.132743362831858,"10.2013.High"
"193","niche.overlap.HL","Plants",0.142642696809363,"10.2013.High"
"194","togetherness.HL","Plants",0.0787037037037037,"10.2013.High"
"195","C.score.HL","Plants",0.659722222222222,"10.2013.High"
"196","V.ratio.HL","Plants",2.07142857142857,"10.2013.High"
"197","discrepancy.HL","Plants",9,"10.2013.High"
"198","extinction.slope.HL","Plants",1.80408836704563,"10.2013.High"
"199","robustness.HL","Plants",0.641456651649336,"10.2013.High"
"200","functional.complementarity.HL","Plants",15.8805495875478,"10.2013.High"
"201","partner.diversity.HL","Plants",1.16950991741538,"10.2013.High"
"202","generality.HL","Plants",3.90909090909091,"10.2013.High"
"203","Raw.Camera","Plants",6,"10.2013.High"
"204","Raw.Transect","Plants",122,"10.2013.High"
"205","connectance","Hummingbirds",0.3,"10.2013.Low"
"206","web asymmetry","Hummingbirds",-0.111111111111111,"10.2013.Low"
"207","links per species","Hummingbirds",0.666666666666667,"10.2013.Low"
"208","number of compartments","Hummingbirds",3,"10.2013.Low"
"209","compartment diversity","Hummingbirds",2.70479734326014,"10.2013.Low"
"210","cluster coefficient","Hummingbirds",0.2,"10.2013.Low"
"211","nestedness","Hummingbirds",35.4261673195445,"10.2013.Low"
"212","weighted nestedness","Hummingbirds",NA,"10.2013.Low"
"213","weighted NODF","Hummingbirds",18.75,"10.2013.Low"
"214","interaction strength asymmetry","Hummingbirds",NA,"10.2013.Low"
"215","specialisation asymmetry","Hummingbirds",0,"10.2013.Low"
"216","linkage density","Hummingbirds",1.66666666666667,"10.2013.Low"
"217","weighted connectance","Hummingbirds",0.185185185185185,"10.2013.Low"
"218","Fisher alpha","Hummingbirds",838860795.708333,"10.2013.Low"
"219","Shannon diversity","Hummingbirds",1.79175946922805,"10.2013.Low"
"220","interaction evenness","Hummingbirds",0.598104004501844,"10.2013.Low"
"221","Alatalo interaction evenness","Hummingbirds",1,"10.2013.Low"
"222","H2","Hummingbirds",0,"10.2013.Low"
"223","number.of.species.HL","Hummingbirds",4,"10.2013.Low"
"224","mean.number.of.shared.partners.HL","Hummingbirds",0.166666666666667,"10.2013.Low"
"225","cluster.coefficient.HL","Hummingbirds",0.4,"10.2013.Low"
"226","weighted.cluster.coefficient.HL","Hummingbirds",NA,"10.2013.Low"
"227","niche.overlap.HL","Hummingbirds",0.0833333333333333,"10.2013.Low"
"228","togetherness.HL","Hummingbirds",0.0833333333333333,"10.2013.Low"
"229","C.score.HL","Hummingbirds",0.833333333333333,"10.2013.Low"
"230","V.ratio.HL","Hummingbirds",0.75,"10.2013.Low"
"231","discrepancy.HL","Hummingbirds",3,"10.2013.Low"
"232","extinction.slope.HL","Hummingbirds",1.36432984379789,"10.2013.Low"
"233","robustness.HL","Hummingbirds",0.57816872944698,"10.2013.Low"
"234","functional.complementarity.HL","Hummingbirds",6.24264068711929,"10.2013.Low"
"235","partner.diversity.HL","Hummingbirds",0.549306144334055,"10.2013.Low"
"236","generality.HL","Hummingbirds",2,"10.2013.Low"
"237","Raw.Camera","Hummingbirds",0,"10.2013.Low"
"238","Raw.Transect","Hummingbirds",14,"10.2013.Low"
"239","connectance","Plants",0.3,"10.2013.Low"
"240","web asymmetry","Plants",-0.111111111111111,"10.2013.Low"
"241","links per species","Plants",0.666666666666667,"10.2013.Low"
"242","number of compartments","Plants",3,"10.2013.Low"
"243","compartment diversity","Plants",2.70479734326014,"10.2013.Low"
"244","cluster coefficient","Plants",0.2,"10.2013.Low"
"245","nestedness","Plants",35.4261673195445,"10.2013.Low"
"246","weighted nestedness","Plants",NA,"10.2013.Low"
"247","weighted NODF","Plants",18.75,"10.2013.Low"
"248","interaction strength asymmetry","Plants",NA,"10.2013.Low"
"249","specialisation asymmetry","Plants",0,"10.2013.Low"
"250","linkage density","Plants",1.66666666666667,"10.2013.Low"
"251","weighted connectance","Plants",0.185185185185185,"10.2013.Low"
"252","Fisher alpha","Plants",838860795.708333,"10.2013.Low"
"253","Shannon diversity","Plants",1.79175946922805,"10.2013.Low"
"254","interaction evenness","Plants",0.598104004501844,"10.2013.Low"
"255","Alatalo interaction evenness","Plants",1,"10.2013.Low"
"256","H2","Plants",0,"10.2013.Low"
"257","number.of.species.HL","Plants",5,"10.2013.Low"
"258","mean.number.of.shared.partners.HL","Plants",0.3,"10.2013.Low"
"259","cluster.coefficient.HL","Plants",0.333333333333333,"10.2013.Low"
"260","weighted.cluster.coefficient.HL","Plants",NA,"10.2013.Low"
"261","niche.overlap.HL","Plants",0.233333333333333,"10.2013.Low"
"262","togetherness.HL","Plants",0.233333333333333,"10.2013.Low"
"263","C.score.HL","Plants",0.7,"10.2013.Low"
"264","V.ratio.HL","Plants",0.222222222222222,"10.2013.Low"
"265","discrepancy.HL","Plants",2,"10.2013.Low"
"266","extinction.slope.HL","Plants",1.17729316875715,"10.2013.Low"
"267","robustness.HL","Plants",0.544,"10.2013.Low"
"268","functional.complementarity.HL","Plants",5.45453218391647,"10.2013.Low"
"269","partner.diversity.HL","Plants",0.231049060186648,"10.2013.Low"
"270","generality.HL","Plants",1.33333333333333,"10.2013.Low"
"271","Raw.Camera","Plants",0,"10.2013.Low"
"272","Raw.Transect","Plants",14,"10.2013.Low"
"273","connectance","Hummingbirds",0.21,"10.2014.High"
"274","web asymmetry","Hummingbirds",0,"10.2014.High"
"275","links per species","Hummingbirds",1.05,"10.2014.High"
"276","number of compartments","Hummingbirds",2,"10.2014.High"
"277","compartment diversity","Hummingbirds",1.75476535060332,"10.2014.High"
"278","cluster coefficient","Hummingbirds",0.2,"10.2014.High"
"279","nestedness","Hummingbirds",30.4306355399583,"10.2014.High"
"280","weighted nestedness","Hummingbirds",0.26062586260316,"10.2014.High"
"281","weighted NODF","Hummingbirds",19.4444444444444,"10.2014.High"
"282","interaction strength asymmetry","Hummingbirds",0,"10.2014.High"
"283","specialisation asymmetry","Hummingbirds",0.0587160886387082,"10.2014.High"
"284","linkage density","Hummingbirds",2.61904761904762,"10.2014.High"
"285","weighted connectance","Hummingbirds",0.130952380952381,"10.2014.High"
"286","Fisher alpha","Hummingbirds",3355443196.21429,"10.2014.High"
"287","Shannon diversity","Hummingbirds",3.04452243772342,"10.2014.High"
"288","interaction evenness","Hummingbirds",0.66110964736696,"10.2014.High"
"289","Alatalo interaction evenness","Hummingbirds",1,"10.2014.High"
"290","H2","Hummingbirds",0,"10.2014.High"
"291","number.of.species.HL","Hummingbirds",10,"10.2014.High"
"292","mean.number.of.shared.partners.HL","Hummingbirds",0.4,"10.2014.High"
"293","cluster.coefficient.HL","Hummingbirds",0.252380952380952,"10.2014.High"
"294","weighted.cluster.coefficient.HL","Hummingbirds",0.111111111111111,"10.2014.High"
"295","niche.overlap.HL","Hummingbirds",0.175661375661376,"10.2014.High"
"296","togetherness.HL","Hummingbirds",0.108333333333333,"10.2014.High"
"297","C.score.HL","Hummingbirds",0.715740740740741,"10.2014.High"
"298","V.ratio.HL","Hummingbirds",0.581699346405229,"10.2014.High"
"299","discrepancy.HL","Hummingbirds",14,"10.2014.High"
"300","extinction.slope.HL","Hummingbirds",2.02293546316137,"10.2014.High"
"301","robustness.HL","Hummingbirds",0.663576713471974,"10.2014.High"
"302","functional.complementarity.HL","Hummingbirds",15.1507880252904,"10.2014.High"
"303","partner.diversity.HL","Hummingbirds",0.842001362903228,"10.2014.High"
"304","generality.HL","Hummingbirds",2.52380952380952,"10.2014.High"
"305","Raw.Camera","Hummingbirds",37,"10.2014.High"
"306","Raw.Transect","Hummingbirds",35,"10.2014.High"
"307","connectance","Plants",0.21,"10.2014.High"
"308","web asymmetry","Plants",0,"10.2014.High"
"309","links per species","Plants",1.05,"10.2014.High"
"310","number of compartments","Plants",2,"10.2014.High"
"311","compartment diversity","Plants",1.75476535060332,"10.2014.High"
"312","cluster coefficient","Plants",0.2,"10.2014.High"
"313","nestedness","Plants",30.8895388488728,"10.2014.High"
"314","weighted nestedness","Plants",0.268916269328461,"10.2014.High"
"315","weighted NODF","Plants",19.4444444444444,"10.2014.High"
"316","interaction strength asymmetry","Plants",0,"10.2014.High"
"317","specialisation asymmetry","Plants",0.0587160886387082,"10.2014.High"
"318","linkage density","Plants",2.61904761904762,"10.2014.High"
"319","weighted connectance","Plants",0.130952380952381,"10.2014.High"
"320","Fisher alpha","Plants",3355443196.21429,"10.2014.High"
"321","Shannon diversity","Plants",3.04452243772342,"10.2014.High"
"322","interaction evenness","Plants",0.66110964736696,"10.2014.High"
"323","Alatalo interaction evenness","Plants",1,"10.2014.High"
"324","H2","Plants",0,"10.2014.High"
"325","number.of.species.HL","Plants",10,"10.2014.High"
"326","mean.number.of.shared.partners.HL","Plants",0.355555555555556,"10.2014.High"
"327","cluster.coefficient.HL","Plants",0.271428571428571,"10.2014.High"
"328","weighted.cluster.coefficient.HL","Plants",0.0810810810810811,"10.2014.High"
"329","niche.overlap.HL","Plants",0.165238095238095,"10.2014.High"
"330","togetherness.HL","Plants",0.0916666666666667,"10.2014.High"
"331","C.score.HL","Plants",0.73287037037037,"10.2014.High"
"332","V.ratio.HL","Plants",0.821656050955414,"10.2014.High"
"333","discrepancy.HL","Plants",13,"10.2014.High"
"334","extinction.slope.HL","Plants",1.8768680946719,"10.2014.High"
"335","robustness.HL","Plants",0.655655459671812,"10.2014.High"
"336","functional.complementarity.HL","Plants",13.6791228363772,"10.2014.High"
"337","partner.diversity.HL","Plants",0.883098801824911,"10.2014.High"
"338","generality.HL","Plants",2.71428571428571,"10.2014.High"
"339","Raw.Camera","Plants",37,"10.2014.High"
"340","Raw.Transect","Plants",35,"10.2014.High"
"341","connectance","Hummingbirds",0.179487179487179,"11.2013.High"
"342","web asymmetry","Hummingbirds",-0.04,"11.2013.High"
"343","links per species","Hummingbirds",1.12,"11.2013.High"
"344","number of compartments","Hummingbirds",2,"11.2013.High"
"345","compartment diversity","Hummingbirds",1.32150253292991,"11.2013.High"
"346","cluster coefficient","Hummingbirds",0.115384615384615,"11.2013.High"
"347","nestedness","Hummingbirds",22.5513971606624,"11.2013.High"
"348","weighted nestedness","Hummingbirds",0.353898868019718,"11.2013.High"
"349","weighted NODF","Hummingbirds",23.1481481481481,"11.2013.High"
"350","interaction strength asymmetry","Hummingbirds",0,"11.2013.High"
"351","specialisation asymmetry","Hummingbirds",-0.0197340324404404,"11.2013.High"
"352","linkage density","Hummingbirds",3.17857142857143,"11.2013.High"
"353","weighted connectance","Hummingbirds",0.127142857142857,"11.2013.High"
"354","Fisher alpha","Hummingbirds",3355443199.71429,"11.2013.High"
"355","Shannon diversity","Hummingbirds",3.3322045101752,"11.2013.High"
"356","interaction evenness","Hummingbirds",0.659861292161898,"11.2013.High"
"357","Alatalo interaction evenness","Hummingbirds",1,"11.2013.High"
"358","H2","Hummingbirds",0,"11.2013.High"
"359","number.of.species.HL","Hummingbirds",12,"11.2013.High"
"360","mean.number.of.shared.partners.HL","Hummingbirds",0.424242424242424,"11.2013.High"
"361","cluster.coefficient.HL","Hummingbirds",0.258241758241758,"11.2013.High"
"362","weighted.cluster.coefficient.HL","Hummingbirds",0.127659574468085,"11.2013.High"
"363","niche.overlap.HL","Hummingbirds",0.173809523809524,"11.2013.High"
"364","togetherness.HL","Hummingbirds",0.090530303030303,"11.2013.High"
"365","C.score.HL","Hummingbirds",0.690673400673401,"11.2013.High"
"366","V.ratio.HL","Hummingbirds",1.36507936507937,"11.2013.High"
"367","discrepancy.HL","Hummingbirds",16,"11.2013.High"
"368","extinction.slope.HL","Hummingbirds",1.92643977927888,"11.2013.High"
"369","robustness.HL","Hummingbirds",0.653029411416558,"11.2013.High"
"370","functional.complementarity.HL","Hummingbirds",18.9713604559715,"11.2013.High"
"371","partner.diversity.HL","Hummingbirds",1.05776873792675,"11.2013.High"
"372","generality.HL","Hummingbirds",3.35714285714286,"11.2013.High"
"373","Raw.Camera","Hummingbirds",67,"11.2013.High"
"374","Raw.Transect","Hummingbirds",51,"11.2013.High"
"375","connectance","Plants",0.179487179487179,"11.2013.High"
"376","web asymmetry","Plants",-0.04,"11.2013.High"
"377","links per species","Plants",1.12,"11.2013.High"
"378","number of compartments","Plants",2,"11.2013.High"
"379","compartment diversity","Plants",1.32150253292991,"11.2013.High"
"380","cluster coefficient","Plants",0.115384615384615,"11.2013.High"
"381","nestedness","Plants",22.5106832971755,"11.2013.High"
"382","weighted nestedness","Plants",0.361518175280323,"11.2013.High"
"383","weighted NODF","Plants",23.1481481481481,"11.2013.High"
"384","interaction strength asymmetry","Plants",0,"11.2013.High"
"385","specialisation asymmetry","Plants",-0.0197340324404404,"11.2013.High"
"386","linkage density","Plants",3.17857142857143,"11.2013.High"
"387","weighted connectance","Plants",0.127142857142857,"11.2013.High"
"388","Fisher alpha","Plants",3355443199.71429,"11.2013.High"
"389","Shannon diversity","Plants",3.3322045101752,"11.2013.High"
"390","interaction evenness","Plants",0.659861292161898,"11.2013.High"
"391","Alatalo interaction evenness","Plants",1,"11.2013.High"
"392","H2","Plants",0,"11.2013.High"
"393","number.of.species.HL","Plants",13,"11.2013.High"
"394","mean.number.of.shared.partners.HL","Plants",0.423076923076923,"11.2013.High"
"395","cluster.coefficient.HL","Plants",0.25,"11.2013.High"
"396","weighted.cluster.coefficient.HL","Plants",0.121951219512195,"11.2013.High"
"397","niche.overlap.HL","Plants",0.192765567765568,"11.2013.High"
"398","togetherness.HL","Plants",0.0947293447293447,"11.2013.High"
"399","C.score.HL","Plants",0.686965811965812,"11.2013.High"
"400","V.ratio.HL","Plants",1.14074074074074,"11.2013.High"
"401","discrepancy.HL","Plants",14,"11.2013.High"
"402","extinction.slope.HL","Plants",1.8560343520113,"11.2013.High"
"403","robustness.HL","Plants",0.648006606965183,"11.2013.High"
"404","functional.complementarity.HL","Plants",18.8027183678585,"11.2013.High"
"405","partner.diversity.HL","Plants",0.928564099560254,"11.2013.High"
"406","generality.HL","Plants",3,"11.2013.High"
"407","Raw.Camera","Plants",67,"11.2013.High"
"408","Raw.Transect","Plants",51,"11.2013.High"
"409","connectance","Hummingbirds",0.285714285714286,"11.2013.Low"
"410","web asymmetry","Hummingbirds",-0.166666666666667,"11.2013.Low"
"411","links per species","Hummingbirds",0.833333333333333,"11.2013.Low"
"412","number of compartments","Hummingbirds",3,"11.2013.Low"
"413","compartment diversity","Hummingbirds",2.79598332180171,"11.2013.Low"
"414","cluster coefficient","Hummingbirds",0.285714285714286,"11.2013.Low"
"415","nestedness","Hummingbirds",38.0771462157261,"11.2013.Low"
"416","weighted nestedness","Hummingbirds",NA,"11.2013.Low"
"417","weighted NODF","Hummingbirds",19.3548387096774,"11.2013.Low"
"418","interaction strength asymmetry","Hummingbirds",0,"11.2013.Low"
"419","specialisation asymmetry","Hummingbirds",0.18727117792818,"11.2013.Low"
"420","linkage density","Hummingbirds",2,"11.2013.Low"
"421","weighted connectance","Hummingbirds",0.166666666666667,"11.2013.Low"
"422","Fisher alpha","Hummingbirds",1677721580,"11.2013.Low"
"423","Shannon diversity","Hummingbirds",2.30258509299405,"11.2013.Low"
"424","interaction evenness","Hummingbirds",0.647639852180729,"11.2013.Low"
"425","Alatalo interaction evenness","Hummingbirds",1,"11.2013.Low"
"426","H2","Hummingbirds",0,"11.2013.Low"
